5259;Daktyle suszone
5273;Delma
5274;Delma kanapkowa
11394;Deser
5275;Deser ryżowy jabłkowy
5276;Deser ryżowy waniliowy
11537;Deser twarogowy termizowany
5277;Deser twarogowy termizowany kakaowy
5278;Deser twarogowy termizowany truskawkowy
11321;Desery
5280;Desrer twarogowy termizowany
11190;Dodatki do ciast
11323;Dodatki do deserów
11659;Dodatki do drinków
7964;Dorsz
11279;Dorsz atlantycki
5281;Dorsz filet bez skóry
7966;Dorsz filety
7967;Dorsz głowa
5284;Dorsz świeży
5285;Dorsz świeży - filety bez skóry
5289;Dorsz wędzony
5290;Dorsz z rusztu
11660;Drinki
5300;Drobiowa wątróbka
5301;Drobiowe serca
5303;Drożdże
11979;Drożdże instant
5304;Drożdże piekarskie
5305;Drożdże prasowane
5306;Drożdże suszone
5307;Drożdże w kostce
11305;Drób
11260;Dymek
5313;Dymka
5314;Dynia
5315;Dynia surowa
11303;Dziczyzna
5318;Dzik - szynka
5319;Dżem
11674;Dżem ananasowy
5320;Dżem ananasowy niskosłodzony
11729;Dżem brzoskwiniowy niskosłodzony
11680;Dżem gruszkowy
11737;Dżem jagodowy niskosłodzony
11558;Dżem malinowy
11559;Dżem malinowy niskosłodzony
11673;Dżem morelowy
5321;Dżem morelowy niskosłodzony
5322;Dżem niskosłodz.
5323;Dżem niskosłodzony
11745;Dżem pomarańczowy niskosłodzony
11679;Dżem porzeczkowy
11560;Dżem śliwkowy
5324;Dżem śliwkowy - niskosłodzony
11753;Dżem śliwkowy niskosłodzony
11761;Dżem śliwkowy wysokosłodzony
11562;Dżem truskawka
11675;Dżem truskawkowy
5327;Dżem truskawkowy - wysokosłodzony
5325;Dżem truskawkowy niskosłodzony
5326;Dżem truskawkowy wysokosłodzony
11676;Dżem wiśniowy
11677;Dżem wiśniowy niskosłodzony
11769;Dżem wiśniowy wysokosłodzony
5330;Dżem wysokosłodzony
11678;Dżem z czarnej porzeczki
5331;Dżem z czarnej porzeczki - niskosłodzony
11776;Dżem z czarnych porzeczek niskosłodzony
11783;Dżem z czarnych porzeczek wysokosłodzony
11563;Dżem z gruszki
11790;Dżem z kiwi niskosłodzony
11564;Dżem z porzeczki
11561;Dżem z śliwki
11176;Dżemy
5332;Dżemy diavita
5333;Dżemy niskosłodzone
5334;Dżemy wysokosłodzone
5335;Dżin
5336;Edamski tłusty
5344;Ementaler pełnotłusty
5345;Endywia
5346;Endywia (sałata)
5347;Espresso
7932;Estragon
7934;Estragon suszony
7933;Estragon świeży
7978;Fasola
5350;Fasola biała
5352;Fasola biała - konserwowa
11797;Fasola biała - nasiona suche
5353;Fasola biała - sucha
5354;Fasola biała - suche nasiona
5355;Fasola biała - ziarno suche
5351;Fasola biała nasiona suche
11154;Fasola cięta - konserwowa bez zalewy
5356;Fasola cięta konserwowa
11804;Fasola cięta konserwowa - bez zalewy
11243;Fasola czarna
5358;Fasola czarna - sucha
5359;Fasola czerwona
5362;Fasola czerwona - konserwowa
5360;Fasola czerwona konser.
11369;Fasola czerwona konserwowa
5361;Fasola czerwona red kidney
11657;Fasola flageolet
11566;Fasola flageolet konserwowa
5364;Fasola kolorowa - sucha
11567;Fasola konserwowa
11245;Fasola konsrwowa
5365;Fasola mung
5366;Fasola mung - kiełki
5367;Fasola mungo
5368;Fasola pinto
11241;Fasola sucha
5370;Fasola szparagowa
5371;Fasola szparagowa konserwowa
5373;Fasola szparagowa z bułką tartą smażoną na maśle
5374;Fasola szparagowa zielona
5375;Fasola szparagowa żółta
5376;Fasoli pinto
11367;Fasolka
5377;Fasolka cięta w zalewie - konserwa
7977;Fasolka czerwona
11665;Fasolka flageolet
5378;Fasolka flageolet konserwowa
5379;Fasolka konserwowa flageolet
5381;Fasolka szparagowa
5383;Fasolka szparagowa konser.
5384;Fasolka szparagowa mrożona
5385;Fasolka szparagowa z bułką tartą
11266;Faworek
5386;Faworki
12055;Feijoa
5389;Feta
5390;Feta light
5391;Feta ser grecki
7768;Figi
5392;Figi suszone
5393;Figi świeże
11206;Filet
12073;Filet biała ryba
7684;Filet cielęcy
7685;Filet dorsza
7686;Filet drobiowy
7976;Filet kurczaka
11672;Filet mięsny
7687;Filet pangi
7688;Filet rybny
7689;Filet ryby morskiej
7690;Filet sledziowy
7683;Filet śledziowy
7691;Filet wołowy
7463;Filet z barweny
11990;Filet z białej ryby
7464;Filet z dorsza
7465;Filet z dorsza atlantyckiego
